# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
5 38 0 3f3f3f
6 38 0 3f3f3f
7 38 0 3f3f3f
8 38 0 3f3f3f
9 38 0 3f3f3f
10 38 0 3f3f3f
11 38 0 3f3f3f
12 38 0 3f3f3f
13 38 0 3f3f3f
14 38 0 3f3f3f
15 38 0 3f3f3f
0 39 0 3f3f3f
1 39 0 3f3f3f
2 39 0 3f3f3f
3 39 0 3f3f3f
4 39 0 3f3f3f
5 39 0 3f3f3f
6 39 0 3f3f3f
7 39 0 3f3f3f
8 39 0 3f3f3f
9 39 0 3f3f3f
10 39 0 3f3f3f
11 39 0 3f3f3f
12 39 0 3f3f3f
13 39 0 3f3f3f
14 39 0 3f3f3f
15 39 0 3f3f3f
0 40 0 3f3f3f
1 40 0 3f3f3f
2 40 0 3f3f3f
3 40 0 3f3f3f
4 40 0 3f3f3f
5 40 0 3f3f3f
6 40 0 3f3f3f
7 40 0 3f3f3f
8 40 0 3f3f3f
9 40 0 3f3f3f
10 40 0 3f3f3f
11 40 0 3f3f3f
12 40 0 3f3f3f
13 40 0 3f3f3f
14 40 0 3f3f3f
15 40 0 3f3f3f
0 41 0 3f3f3f
1 41 0 3f3f3f
2 41 0 3f3f3f
3 41 0 3f3f3f
4 41 0 3f3f3f
5 41 0 3f3f3f
6 41 0 3f3f3f
7 41 0 3f3f3f
8 41 0 3f3f3f
9 41 0 3f3f3f
10 41 0 3f3f3f
11 41 0 3f3f3f
12 41 0 3f3f3f
13 41 0 3f3f3f
14 41 0 3f3f3f
15 41 0 3f3f3f
0 42 0 3f3f3f
1 42 0 3f3f3f
2 42 0 3f3f3f
3 42 0 3f3f3f
4 42 0 3f3f3f
5 42 0 3f3f3f
6 42 0 3f3f3f
7 42 0 3f3f3f
8 42 0 3f3f3f
9 42 0 3f3f3f
10 42 0 3f3f3f
11 42 0 3f3f3f
12 42 0 3f3f3f
13 42 0 3f3f3f
14 42 0 3f3f3f
15 42 0 3f3f3f
0 43 0 3f3f3f
1 43 0 3f3f3f
2 43 0 3f3f3f
3 43 0 3f3f3f
4 43 0 3f3f3f
5 43 0 3f3f3f
6 43 0 3f3f3f
7 43 0 3f3f3f
8 43 0 3f3f3f
9 43 0 3f3f3f
10 43 0 3f3f3f
11 43 0 3f3f3f
12 43 0 3f3f3f
13 43 0 3f3f3f
14 43 0 3f3f3f
15 43 0 3f3f3f
0 44 0 3f3f3f
1 44 0 3f3f3f
2 44 0 3f3f3f
3 44 0 3f3f3f
4 44 0 3f3f3f
5 44 0 3f3f3f
6 44 0 3f3f3f
7 44 0 3f3f3f
8 44 0 3f3f3f
9 44 0 3f3f3f
10 44 0 3f3f3f
11 44 0 3f3f3f
12 44 0 3f3f3f
13 44 0 3f3f3f
14 44 0 3f3f3f
15 44 0 3f3f3f
0 45 0 3f3f3f
1 45 0 3f3f3f
2 45 0 3f3f3f
3 45 0 3f3f3f
4 45 0 3f3f3f
5 45 0 3f3f3f
6 45 0 3f3f3f
7 45 0 3f3f3f
8 45 0 3f3f3f
9 45 0 3f3f3f
10 45 0 3f3f3f
11 45 0 3f3f3f
12 45 0 3f3f3f
13 45 0 3f3f3f
14 45 0 3f3f3f
15 45 0 3f3f3f
0 46 0 3f3f3f
1 46 0 3f3f3f
2 46 0 3f3f3f
3 46 0 3f3f3f
4 46 0 3f3f3f
5 46 0 3f3f3f
6 46 0 3f3f3f
7 46 0 3f3f3f
8 46 0 3f3f3f
9 46 0 3f3f3f
10 46 0 3f3f3f
11 46 0 3f3f3f
12 46 0 3f3f3f
13 46 0 3f3f3f
14 46 0 3f3f3f
15 46 0 3f3f3f
0 47 0 3f3f3f
1 47 0 3f3f3f
2 47 0 3f3f3f
3 47 0 3f3f3f
4 47 0 3f3f3f
5 47 0 3f3f3f
6 47 0 3f3f3f
7 47 0 3f3f3f
8 47 0 3f3f3f
9 47 0 3f3f3f
10 47 0 3f3f3f
11 47 0 3f3f3f
12 47 0 3f3f3f
13 47 0 3f3f3f
14 47 0 3f3f3f
15 47 0 3f3f3f
0 32 1 3f3f3f
1 32 1 3f3f3f
2 32 1 3f3f3f
3 32 1 3f3f3f
4 32 1 3f3f3f
5 32 1 3f3f3f
6 32 1 3f3f3f
7 32 1 3f3f3f
8 32 1 3f3f3f
9 32 1 3f3f3f
10 32 1 3f3f3f
11 32 1 3f3f3f
12 32 1 3f3f3f
13 32 1 3f3f3f
14 32 1 3f3f3f
15 32 1 3f3f3f
0 33 1 3f3f3f
1 33 1 3f3f3f
2 33 1 3f3f3f
3 33 1 3f3f3f
4 33 1 3f3f3f
5 33 1 3f3f3f
6 33 1 3f3f3f
7 33 1 3f3f3f
8 33 1 3f3f3f
9 33 1 3f3f3f
10 33 1 3f3f3f
11 33 1 3f3f3f
12 33 1 3f3f3f
13 33 1 3f3f3f
14 33 1 3f3f3f
15 33 1 3f3f3f
0 34 1 3f3f3f
1 34 1 3f3f3f
2 34 1 3f3f3f
3 34 1 3f3f3f
4 34 1 3f3f3f
5 34 1 3f3f3f
6 34 1 3f3f3f
7 34 1 3f3f3f
8 34 1 3f3f3f
9 34 1 3f3f3f
10 34 1 3f3f3f
11 34 1 3f3f3f
12 34 1 3f3f3f
13 34 1 3f3f3f
14 34 1 3f3f3f
15 34 1 3f3f3f
0 35 1 3f3f3f
1 35 1 3f3f3f
2 35 1 3f3f3f
3 35 1 3f3f3f
4 35 1 3f3f3f
5 35 1 3f3f3f
6 35 1 3f3f3f
7 35 1 3f3f3f
8 35 1 3f3f3f
9 35 1 3f3f3f
10 35 1 3f3f3f
11 35 1 3f3f3f
12 35 1 3f3f3f
13 35 1 3f3f3f
14 35 1 3f3f3f
15 35 1 3f3f3f
0 36 1 3f3f3f
1 36 1 3f3f3f
2 36 1 3f3f3f
3 36 1 3f3f3f
4 36 1 3f3f3f
5 36 1 3f3f3f
6 36 1 3f3f3f
7 36 1 3f3f3f
8 36 1 3f3f3f
9 36 1 3f3f3f
10 36 1 3f3f3f
11 36 1 3f3f3f
12 36 1 3f3f3f
13 36 1 3f3f3f
14 36 1 3f3f3f
15 36 1 3f3f3f
0 37 1 3f3f3f
1 37 1 3f3f3f
2 37 1 3f3f3f
3 37 1 3f3f3f
4 37 1 3f3f3f
5 37 1 3f3f3f
6 37 1 3f3f3f
7 37 1 3f3f3f
8 37 1 3f3f3f
9 37 1 3f3f3f
10 37 1 3f3f3f
11 37 1 3f3f3f
12 37 1 3f3f3f
13 37 1 3f3f3f
14 37 1 3f3f3f
15 37 1 3f3f3f
0 38 1 3f3f3f
1 38 1 3f3f3f
2 38 1 3f3f3f
3 38 1 3f3f3f
4 38 1 3f3f3f
5 38 1 3f3f3f
6 38 1 3f3f3f
7 38 1 3f3f3f
8 38 1 3f3f3f
9 38 1 3f3f3f
10 38 1 3f3f3f
11 38 1 3f3f3f
12 38 1 3f3f3f
13 38 1 3f3f3f
14 38 1 3f3f3f
15 38 1 3f3f3f
0 39 1 3f3f3f
1 39 1 3f3f3f
2 39 1 3f3f3f
3 39 1 3f3f3f
4 39 1 3f3f3f
5 39 1 3f3f3f
6 39 1 3f3f3f
7 39 1 3f3f3f
8 39 1 3f3f3f
9 39 1 3f3f3f
10 39 1 3f3f3f
11 39 1 3f3f3f
12 39 1 3f3f3f
13 39 1 3f3f3f
14 39 1 3f3f3f
15 39 1 3f3f3f
0 40 1 3f3f3f
1 40 1 3f3f3f
2 40 1 3f3f3f
3 40 1 3f3f3f
4 40 1 3f3f3f
5 40 1 3f3f3f
6 40 1 3f3f3f
7 40 1 3f3f3f
8 40 1 3f3f3f
9 40 1 3f3f3f
10 40 1 3f3f3f
11 40 1 3f3f3f
12 40 1 3f3f3f
13 40 1 3f3f3f
14 40 1 3f3f3f
15 40 1 3f3f3f
0 41 1 3f3f3f
1 41 1 3f3f3f
2 41 1 3f3f3f
3 41 1 3f3f3f
4 41 1 3f3f3f
5 41 1 3f3f3f
6 41 1 3f3f3f
7 41 1 3f3f3f
8 41 1 3f3f3f
9 41 1 3f3f3f
10 41 1 3f3f3f
11 41 1 3f3f3f
12 41 1 3f3f3f
13 41 1 3f3f3f
14 41 1 3f3f3f
15 41 1 3f3f3f
0 42 1 3f3f3f
1 42 1 3f3f3f
2 42 1 3f3f3f
3 42 1 3f3f3f
4 42 1 3f3f3f
5 42 1 3f3f3f
6 42 1 3f3f3f
7 42 1 3f3f3f
8 42 1 3f3f3f
9 42 1 3f3f3f
10 42 1 3f3f3f
11 42 1 3f3f3f
12 42 1 3f3f3f
13 42 1 3f3f3f
14 42 1 3f3f3f
15 42 1 3f3f3f
0 43 1 3f3f3f
1 43 1 3f3f3f
2 43 1 3f3f3f
3 43 1 3f3f3f
4 43 1 3f3f3f
5 43 1 3f3f3f
6 43 1 3f3f3f
7 43 1 3f3f3f
8 43 1 3f3f3f
9 43 1 3f3f3f
10 43 1 3f3f3f
11 43 1 3f3f3f
12 43 1 3f3f3f
13 43 1 3f3f3f
14 43 1 3f3f3f
15 43 1 3f3f3f
0 44 1 3f3f3f
1 44 1 3f3f3f
2 44 1 3f3f3f
3 44 1 3f3f3f
4 44 1 3f3f3f
5 44 1 3f3f3f
6 44 1 3f3f3f
7 44 1 3f3f3f
8 44 1 3f3f3f
9 44 1 3f3f3f
10 44 1 3f3f3f
11 44 1 3f3f3f
12 44 1 3f3f3f
13 44 1 3f3f3f
14 44 1 3f3f3f
15 44 1 3f3f3f
0 45 1 3f3f3f
1 45 1 3f3f3f
2 45 1 3f3f3f
3 45 1 3f3f3f
4 45 1 3f3f3f
5 45 1 3f3f3f
6 45 1 3f3f3f
7 45 1 3f3f3f
8 45 1 3f3f3f
9 45 1 3f3f3f
10 45 1 3f3f3f
11 45 1 3f3f3f
12 45 1 3f3f3f
13 45 1 3f3f3f
14 45 1 3f3f3f
15 45 1 3f3f3f
0 46 1 3f3f3f
1 46 1 3f3f3f
2 46 1 3f3f3f
3 46 1 3f3f3f
4 46 1 3f3f3f
5 46 1 3f3f3f
6 46 1 3f3f3f
7 46 1 3f3f3f
8 46 1 3f3f3f
9 46 1 3f3f3f
10 46 1 3f3f3f
11 46 1 3f3f3f
12 46 1 3f3f3f
13 46 1 3f3f3f
14 46 1 3f3f3f
15 46 1 3f3f3f
0 47 1 3f3f3f
1 47 1 3f3f3f
2 47 1 3f3f3f
3 47 1 3f3f3f
4 47 1 3f3f3f
5 47 1 3f3f3f
6 47 1 3f3f3f
7 47 1 3f3f3f
8 47 1 3f3f3f
9 47 1 3f3f3f
10 47 1 3f3f3f
11 47 1 3f3f3f
12 47 1 3f3f3f
13 47 1 3f3f3f
14 47 1 3f3f3f
15 47 1 3f3f3f
0 32 2 7f7f7f
1 32 2 7f7f7f
2 32 2 7f7f7f
3 32 2 7f7f7f
4 32 2 7f7f7f
5 32 2 7f7f7f
6 32 2 7f7f7f
7 32 2 7f7f7f
8 32 2 7f7f7f
9 32 2 7f7f7f
10 32 2 7f7f7f
11 32 2 7f7f7f
12 32 2 7f7f7f
13 32 2 7f7f7f
14 32 2 7f7f7f
15 32 2 7f7f7f
0 33 2 7f7f7f
1 33 2 7f7f7f
2 33 2 7f7f7f
3 33 2 7f7f7f
4 33 2 7f7f7f
5 33 2 7f7f7f
6 33 2 7f7f7f
7 33 2 7f7f7f
8 33 2 7f7f7f
9 33 2 7f7f7f
10 33 2 7f7f7f
11 33 2 7f7f7f
12 33 2 7f7f7f
13 33 2 7f7f7f
14 33 2 7f7f7f
15 33 2 7f7f7f
0 34 2 7f7f7f
1 34 2 7f7f7f
2 34 2 7f7f7f
3 34 2 7f7f7f
4 34 2 7f7f7f
5 34 2 7f7f7f
6 34 2 7f7f7f
7 34 2 7f7f7f
8 34 2 7f7f7f
9 34 2 7f7f7f
10 34 2 7f7f7f
11 34 2 7f7f7f
12 34 2 7f7f7f
13 34 2 7f7f7f
14 34 2 7f7f7f
15 34 2 7f7f7f
0 35 2 7f7f7f
1 35 2 7f7f7f
2 35 2 7f7f7f
3 35 2 7f7f7f
4 35 2 7f7f7f
5 35 2 7f7f7f
6 35 2 7f7f7f
7 35 2 7f7f7f
8 35 2 7f7f7f
9 35 2 7f7f7f
10 35 2 7f7f7f
11 35 2 7f7f7f
12 35 2 7f7f7f
13 35 2 7f7f7f
14 35 2 7f7f7f
15 35 2 7f7f7f
0 36 2 7f7f7f
1 36 2 7f7f7f
2 36 2 7f7f7f
3 36 2 7f7f7f
4 36 2 7f7f7f
5 36 2 7f7f7f
6 36 2 7f7f7f
7 36 2 7f7f7f
8 36 2 7f7f7f
9 36 2 7f7f7f
10 36 2 7f7f7f
11 36 2 7f7f7f
12 36 2 7f7f7f
13 36 2 7f7f7f
14 36 2 7f7f7f
15 36 2 7f7f7f
0 37 2 7f7f7f
1 37 2 7f7f7f
2 37 2 7f7f7f
3 37 2 7f7f7f
4 37 2 7f7f7f
5 37 2 7f7f7f
6 37 2 7f7f7f
7 37 2 7f7f7f
8 37 2 7f7f7f
9 37 2 7f7f7f
10 37 2 7f7f7f
11 37 2 7f7f7f
12 37 2 7f7f7f
13 37 2 7f7f7f
14 37 2 7f7f7f
15 37 2 7f7f7f
0 38 2 7f7f7f
1 38 2 7f7f7f
2 38 2 7f7f7f
3 38 2 7f7f7f
4 38 2 7f7f7f
5 38 2 7f7f7f
6 38 2 7f7f7f
7 38 2 7f7f7f
8 38 2 7f7f7f
9 38 2 7f7f7f
10 38 2 7f7f7f
11 38 2 7f7f7f
12 38 2 7f7f7f
13 38 2 7f7f7f
14 38 2 7f7f7f
15 38 2 7f7f7f
0 39 2 7f7f7f
1 39 2 7f7f7f
2 39 2 7f7f7f
3 39 2 7f7f7f
4 39 2 7f7f7f
5 39 2 7f7f7f
6 39 2 7f7f7f
7 39 2 7f7f7f
8 39 2 7f7f7f
9 39 2 7f7f7f
10 39 2 7f7f7f
11 39 2 7f7f7f
12 39 2 7f7f7f
13 39 2 7f7f7f
14 39 2 7f7f7f
15 39 2 7f7f7f
0 40 2 7f7f7f
1 40 2 7f7f7f
2 40 2 7f7f7f
3 40 2 7f7f7f
4 40 2 7f7f7f
5 40 2 7f7f7f
6 40 2 7f7f7f
7 40 2 7f7f7f
8 40 2 7f7f7f
9 40 2 7f7f7f
10 40 2 7f7f7f
11 40 2 7f7f7f
12 40 2 7f7f7f
13 40 2 7f7f7f
14 40 2 7f7f7f
15 40 2 7f7f7f
0 41 2 7f7f7f
1 41 2 7f7f7f
2 41 2 7f7f7f
3 41 2 7f7f7f
4 41 2 7f7f7f
5 41 2 7f7f7f
6 41 2 7f7f7f
7 41 2 7f7f7f
8 41 2 7f7f7f
9 41 2 7f7f7f
10 41 2 7f7f7f
11 41 2 7f7f7f
12 41 2 7f7f7f
13 41 2 7f7f7f
14 41 2 7f7f7f
15 41 2 7f7f7f
0 42 2 7f7f7f
1 42 2 7f7f7f
2 42 2 7f7f7f
3 42 2 7f7f7f
4 42 2 7f7f7f
5 42 2 7f7f7f
6 42 2 7f7f7f
7 42 2 7f7f7f
8 42 2 7f7f7f
9 42 2 7f7f7f
10 42 2 7f7f7f
11 42 2 7f7f7f
12 42 2 7f7f7f
13 42 2 7f7f7f
14 42 2 7f7f7f
15 42 2 7f7f7f
0 43 2 7f7f7f
1 43 2 7f7f7f
2 43 2 7f7f7f
3 43 2 7f7f7f
4 43 2 7f7f7f
5 43 2 7f7f7f
6 43 2 7f7f7f
7 43 2 7f7f7f
8 43 2 7f7f7f
9 43 2 7f7f7f
10 43 2 7f7f7f
11 43 2 7f7f7f
12 43 2 7f7f7f
13 43 2 7f7f7f
14 43 2 7f7f7f
15 43 2 7f7f7f
0 44 2 7f7f7f
1 44 2 7f7f7f
2 44 2 7f7f7f
3 44 2 7f7f7f
4 44 2 7f7f7f
5 44 2 7f7f7f
6 44 2 7f7f7f
7 44 2 7f7f7f
8 44 2 7f7f7f
9 44 2 7f7f7f
10 44 2 7f7f7f
11 44 2 7f7f7f
12 44 2 7f7f7f
13 44 2 7f7f7f
14 44 2 7f7f7f
15 44 2 7f7f7f
0 45 2 7f7f7f
1 45 2 7f7f7f
2 45 2 7f7f7f
3 45 2 7f7f7f
4 45 2 7f7f7f
5 45 2 7f7f7f
6 45 2 7f7f7f
7 45 2 7f7f7f
8 45 2 7f7f7f
9 45 2 7f7f7f
10 45 2 7f7f7f
11 45 2 7f7f7f
12 45 2 7f7f7f
13 45 2 7f7f7f
14 45 2 7f7f7f
15 45 2 7f7f7f
0 46 2 7f7f7f
1 46 2 7f7f7f
2 46 2 7f7f7f
3 46 2 7f7f7f
4 46 2 7f7f7f
5 46 2 7f7f7f
6 46 2 7f7f7f
7 46 2 7f7f7f
8 46 2 7f7f7f
9 46 2 7f7f7f
10 46 2 7f7f7f
11 46 2 7f7f7f
12 46 2 7f7f7f
13 46 2 7f7f7f
14 46 2 7f7f7f
15 46 2 7f7f7f
0 47 2 7f7f7f
1 47 2 7f7f7f
2 47 2 7f7f7f
3 47 2 7f7f7f
4 47 2 7f7f7f
5 47 2 7f7f7f
6 47 2 7f7f7f
7 47 2 7f7f7f
8 47 2 7f7f7f
9 47 2 7f7f7f
10 47 2 7f7f7f
11 47 2 7f7f7f
12 47 2 7f7f7f
13 47 2 7f7f7f
14 47 2 7f7f7f
15 47 2 7f7f7f
0 32 3 7f7f7f
1 32 3 7f7f7f
2 32 3 7f7f7f
3 32 3 7f7f7f
4 32 3 7f7f7f
5 32 3 7f7f7f
6 32 3 7f7f7f
7 32 3 7f7f7f
8 32 3 7f7f7f
9 32 3 7f7f7f
10 32 3 7f7f7f
11 32 3 7f7f7f
12 32 3 7f7f7f
13 32 3 7f7f7f
14 32 3 7f7f7f
15 32 3 7f7f7f
0 33 3 7f7f7f
1 33 3 7f7f7f
2 33 3 7f7f7f
3 33 3 7f7f7f
4 33 3 7f7f7f
5 33 3 7f7f7f
6 33 3 7f7f7f
7 33 3 7f7f7f
8 33 3 7f7f7f
9 33 3 7f7f7f
10 33 3 7f7f7f
11 33 3 7f7f7f
12 33 3 7f7f7f
13 33 3 7f7f7f
14 33 3 7f7f7f
15 33 3 7f7f7f
0 34 3 7f7f7f
1 34 3 7f7f7f
2 34 3 7f7f7f
3 34 3 7f7f7f
4 34 3 7f7f7f
5 34 3 7f7f7f
6 34 3 7f7f7f
7 34 3 7f7f7f
8 34 3 7f7f7f
9 34 3 7f7f7f
10 34 3 7f7f7f
11 34 3 7f7f7f
12 34 3 7f7f7f
13 34 3 7f7f7f
14 34 3 7f7f7f
15 34 3 7f7f7f
0 35 3 7f7f7f
1 35 3 7f7f7f
2 35 3 7f7f7f
3 35 3 7f7f7f
4 35 3 7f7f7f
5 35 3 7f7f7f
6 35 3 7f7f7f
7 35 3 7f7f7f
8 35 3 7f7f7f
9 35 3 7f7f7f
10 35 3 7f7f7f
11 35 3 7f7f7f
12 35 3 7f7f7f
13 35 3 7f7f7f
14 35 3 7f7f7f
15 35 3 7f7f7f
0 36 3 7f7f7f
1 36 3 7f7f7f
2 36 3 7f7f7f
3 36 3 7f7f7f
4 36 3 7f7f7f
5 36 3 7f7f7f
6 36 3 7f7f7f
7 36 3 7f7f7f
8 36 3 7f7f7f
9 36 3 7f7f7f
10 36 3 7f7f7f
11 36 3 7f7f7f
12 36 3 7f7f7f
13 36 3 7f7f7f
14 36 3 7f7f7f
15 36 3 7f7f7f
0 37 3 7f7f7f
1 37 3 7f7f7f
2 37 3 7f7f7f
3 37 3 7f7f7f
4 37 3 7f7f7f
5 37 3 7f7f7f
6 37 3 7f7f7f
7 37 3 7f7f7f
8 37 3 7f7f7f
9 37 3 7f7f7f
10 37 3 7f7f7f
11 37 3 7f7f7f
12 37 3 7f7f7f
13 37 3 7f7f7f
14 37 3 7f7f7f
15 37 3 7f7f7f
0 38 3 7f7f7f
1 38 3 7f7f7f
2 38 3 7f7f7f
3 38 3 7f7f7f
4 38 3 7f7f7f
5 38 3 7f7f7f
6 38 3 7f7f7f
7 38 3 7f7f7f
8 38 3 7f7f7f
9 38 3 7f7f7f
10 38 3 7f7f7f
11 38 3 7f7f7f
12 38 3 7f7f7f
13 38 3 7f7f7f
14 38 3 7f7f7f
15 38 3 7f7f7f
0 39 3 7f7f7f
1 39 3 7f7f7f
2 39 3 7f7f7f
3 39 3 7f7f7f
4 39 3 7f7f7f
5 39 3 7f7f7f
6 39 3 7f7f7f
7 39 3 7f7f7f
8 39 3 7f7f7f
9 39 3 7f7f7f
10 39 3 7f7f7f
11 39 3 7f7f7f
12 39 3 7f7f7f
13 39 3 7f7f7f
14 39 3 7f7f7f
15 39 3 7f7f7f
0 40 3 7f7f7f
1 40 3 7f7f7f
2 40 3 7f7f7f
3 40 3 7f7f7f
4 40 3 7f7f7f
5 40 3 7f7f7f
6 40 3 7f7f7f
7 40 3 7f7f7f
8 40 3 7f7f7f
9 40 3 7f7f7f
10 40 3 7f7f7f
11 40 3 7f7f7f
12 40 3 7f7f7f
13 40 3 7f7f7f
14 40 3 7f7f7f
15 40 3 7f7f7f
0 41 3 7f7f7f
1 41 3 7f7f7f
2 41 3 7f7f7f
3 41 3 7f7f7f
4 41 3 7f7f7f
5 41 3 7f7f7f
6 41 3 7f7f7f
7 41 3 7f7f7f
8 41 3 7f7f7f
9 41 3 7f7f7f
10 41 3 7f7f7f
11 41 3 7f7f7f
12 41 3 7f7f7f
13 41 3 7f7f7f
14 41 3 7f7f7f
15 41 3 7f7f7f
0 42 3 7f7f7f
1 42 3 7f7f7f
2 42 3 7f7f7f
3 42 3 7f7f7f
4 42 3 7f7f7f
5 42 3 7f7f7f
6 42 3 7f7f7f
7 42 3 7f7f7f
8 42 3 7f7f7f
9 42 3 7f7f7f
10 42 3 7f7f7f
11 42 3 7f7f7f
12 42 3 7f7f7f
13 42 3 7f7f7f
14 42 3 7f7f7f
15 42 3 7f7f7f
0 43 3 7f7f7f
1 43 3 7f7f7f
2 43 3 7f7f7f
3 43 3 7f7f7f
4 43 3 7f7f7f
5 43 3 7f7f7f
6 43 3 7f7f7f
7 43 3 7f7f7f
8 43 3 7f7f7f
9 43 3 7f7f7f
10 43 3 7f7f7f
11 43 3 7f7f7f
12 43 3 7f7f7f
13 43 3 7f7f7f
14 43 3 7f7f7f
15 43 3 7f7f7f
0 44 3 7f7f7f
1 44 3 7f7f7f
2 44 3 7f7f7f
3 44 3 7f7f7f
4 44 3 7f7f7f
5 44 3 7f7f7f
6 44 3 7f7f7f
7 44 3 7f7f7f
8 44 3 7f7f7f
9 44 3 7f7f7f
10 44 3 7f7f7f
11 44 3 7f7f7f
12 44 3 7f7f7f
13 44 3 7f7f7f
14 44 3 7f7f7f
15 44 3 7f7f7f
0 45 3 7f7f7f
1 45 3 7f7f7f
2 45 3 7f7f7f
3 45 3 7f7f7f
4 45 3 7f7f7f
5 45 3 7f7f7f
6 45 3 7f7f7f
7 45 3 7f7f7f
8 45 3 7f7f7f
9 45 3 7f7f7f
10 45 3 7f7f7f
11 45 3 7f7f7f
12 45 3 7f7f7f
13 45 3 7f7f7f
14 45 3 7f7f7f
15 45 3 7f7f7f
0 46 3 7f7f7f
1 46 3 7f7f7f
2 46 3 7f7f7f
3 46 3 7f7f7f
4 46 3 7f7f7f
5 46 3 7f7f7f
6 46 3 7f7f7f
7 46 3 7f7f7f
8 46 3 7f7f7f
9 46 3 7f7f7f
10 46 3 7f7f7f
11 46 3 7f7f7f
12 46 3 7f7f7f
13 46 3 7f7f7f
14 46 3 7f7f7f
15 46 3 7f7f7f
0 47 3 7f7f7f
1 47 3 7f7f7f
2 47 3 7f7f7f
3 47 3 7f7f7f
4 47 3 7f7f7f
5 47 3 7f7f7f
6 47 3 7f7f7f
7 47 3 7f7f7f
8 47 3 7f7f7f
9 47 3 7f7f7f
10 47 3 7f7f7f
11 47 3 7f7f7f
12 47 3 7f7f7f
13 47 3 7f7f7f
14 47 3 7f7f7f
15 47 3 7f7f7f
0 32 4 7f7f7f
1 32 4 7f7f7f
2 32 4 7f7f7f
3 32 4 7f7f7f
4 32 4 7f7f7f
5 32 4 7f7f7f
6 32 4 7f7f7f
7 32 4 7f7f7f
8 32 4 7f7f7f
9 32 4 7f7f7f
10 32 4 7f7f7f
11 32 4 7f7f7f
12 32 4 7f7f7f
13 32 4 7f7f7f
14 32 4 7f7f7f
15 32 4 7f7f7f
0 33 4 7f7f7f
1 33 4 7f7f7f
2 33 4 7f7f7f
3 33 4 7f7f7f
4 33 4 7f7f7f
5 33 4 7f7f7f
6 33 4 7f7f7f
7 33 4 7f7f7f
8 33 4 7f7f7f
9 33 4 7f7f7f
10 33 4 7f7f7f
11 33 4 7f7f7f
12 33 4 7f7f7f
13 33 4 7f7f7f
14 33 4 7f7f7f
15 33 4 7f7f7f
0 34 4 7f7f7f
1 34 4 7f7f7f
2 34 4 7f7f7f
3 34 4 7f7f7f
4 34 4 7f7f7f
5 34 4 7f7f7f
6 34 4 7f7f7f
7 34 4 7f7f7f
8 34 4 7f7f7f
9 34 4 7f7f7f
10 34 4 7f7f7f
11 34 4 7f7f7f
12 34 4 7f7f7f
13 34 4 7f7f7f
14 34 4 7f7f7f
